tool,project,bug_id,file,line,description
sonarqube,Lang,1,NumberUtils.java,77,[CODE_SMELL] java:S1118: Hide this public constructor.
sonarqube,Lang,1,NumberUtils.java,450,"[CODE_SMELL] java:S6541: A ""Brain Method"" was detected. Refactor it to reduce at least one of the following metrics: LOC from 138 to 64, Complexi"
sonarqube,Lang,1,NumberUtils.java,450,[CODE_SMELL] java:S3776: Refactor this method to reduce its Cognitive Complexity from 84 to the 15 allowed.
sonarqube,Lang,1,NumberUtils.java,458,[CODE_SMELL] java:S117: Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
sonarqube,Lang,1,NumberUtils.java,537,"[BUG] java:S2259: A ""NullPointerException"" could be thrown; ""f"" is nullable here."
sonarqube,Lang,1,NumberUtils.java,551,"[BUG] java:S2259: A ""NullPointerException"" could be thrown; ""d"" is nullable here."
sonarqube,Lang,1,NumberUtils.java,633,"[CODE_SMELL] java:S7158: Use ""isEmpty()"" to check whether a ""String"" is empty or not."
sonarqube,Lang,1,NumberUtils.java,1325,[CODE_SMELL] java:S3776: Refactor this method to reduce its Cognitive Complexity from 63 to the 15 allowed.
sonarqube,Lang,1,NumberUtils.java,1325,"[CODE_SMELL] java:S6541: A ""Brain Method"" was detected. Refactor it to reduce at least one of the following metrics: LOC from 84 to 64, Complexit"
sonarqube,Lang,5,LocaleUtils.java,43,"[CODE_SMELL] java:S2293: Replace the type specification in this constructor call with the diamond operator (""<>"")."
sonarqube,Lang,5,LocaleUtils.java,47,"[CODE_SMELL] java:S2293: Replace the type specification in this constructor call with the diamond operator (""<>"")."
sonarqube,Lang,5,LocaleUtils.java,56,[CODE_SMELL] java:S1118: Hide this public constructor.
sonarqube,Lang,5,LocaleUtils.java,102,"[CODE_SMELL] java:S1874: Remove this use of ""Locale""; it is deprecated."
sonarqube,Lang,5,LocaleUtils.java,112,"[CODE_SMELL] java:S1874: Remove this use of ""Locale""; it is deprecated."
sonarqube,Lang,5,LocaleUtils.java,119,"[CODE_SMELL] java:S1874: Remove this use of ""Locale""; it is deprecated."
sonarqube,Lang,5,LocaleUtils.java,127,"[CODE_SMELL] java:S1874: Remove this use of ""Locale""; it is deprecated."
sonarqube,Lang,5,LocaleUtils.java,166,"[CODE_SMELL] java:S2293: Replace the type specification in this constructor call with the diamond operator (""<>"")."
sonarqube,Lang,5,LocaleUtils.java,169,"[CODE_SMELL] java:S7158: Use ""isEmpty()"" to check whether a ""String"" is empty or not."
sonarqube,Lang,5,LocaleUtils.java,170,"[CODE_SMELL] java:S1874: Remove this use of ""Locale""; it is deprecated."
sonarqube,Lang,5,LocaleUtils.java,172,"[CODE_SMELL] java:S7158: Use ""isEmpty()"" to check whether a ""String"" is empty or not."
sonarqube,Lang,5,LocaleUtils.java,173,"[CODE_SMELL] java:S1874: Remove this use of ""Locale""; it is deprecated."
sonarqube,Lang,5,LocaleUtils.java,175,[CODE_SMELL] java:S1125: Remove the unnecessary boolean literal.
sonarqube,Lang,5,LocaleUtils.java,237,"[CODE_SMELL] java:S2293: Replace the type specification in this constructor call with the diamond operator (""<>"")."
sonarqube,Lang,5,LocaleUtils.java,269,"[CODE_SMELL] java:S2293: Replace the type specification in this constructor call with the diamond operator (""<>"")."
sonarqube,Lang,5,LocaleUtils.java,274,"[CODE_SMELL] java:S7158: Use ""isEmpty()"" to check whether a ""String"" is empty or not."
sonarqube,Lang,5,LocaleUtils.java,288,[CODE_SMELL] java:S1118: Add a private constructor to hide the implicit public one.
sonarqube,Lang,5,LocaleUtils.java,295,"[CODE_SMELL] java:S2293: Replace the type specification in this constructor call with the diamond operator (""<>"")."
sonarqube,Lang,11,RandomStringUtils.java,53,[CODE_SMELL] java:S1118: Hide this public constructor.
sonarqube,Lang,11,RandomStringUtils.java,223,[CODE_SMELL] java:S3776: Refactor this method to reduce its Cognitive Complexity from 45 to the 15 allowed.
